"Position","Name","Type","Signal","Label"
"1","PE2","I/O","SAI1_MCLK_A","BT_I2S_MCLK"
"2","PE3","I/O","SAI1_SD_B","FM_I2S_SD"
"3","PE4","I/O","SAI1_FS_A","BT_I2S_FS"
"4","PE5","I/O","SAI1_SCK_A","BT_I2S_SCK"
"5","PE6","I/O","SAI1_SD_A","BT_I2S_SD"
"6","VSS","Power","",""
"7","VDD","Power","",""
"8","VBAT","Power","",""
"9","PI8","I/O","",""
"10","PC13","I/O","",""
"11","PC14-OSC32_IN (OSC32_IN)","I/O","RCC_OSC32_IN","LSE_IN_+"
"12","PC15-OSC32_OUT (OSC32_OUT)","I/O","RCC_OSC32_OUT","LSE_IN_-"
"13","PI9","I/O","",""
"14","PI10","I/O","",""
"15","PI11","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","VSSSMPS","Power","",""
"19","VLXSMPS","Power","",""
"20","VDDSMPS","Power","",""
"21","VFBSMPS","Power","",""
"22","PF0","I/O","I2C2_SDA","TOUCH_SDA"
"23","PF1","I/O","I2C2_SCL","TOUCH_SCL"
"24","PF2","Output","GPIO_Output","TOUCH_RST"
"25","PF3","I/O","GPIO_EXTI3",""
"26","PF4","I/O","",""
"27","PF5","I/O","",""
"28","VSS","Power","",""
"29","VDD","Power","",""
"30","PF6","I/O","",""
"31","PF7","I/O","SAI1_MCLK_B","FM_I2S_MCLK"
"32","PF8","I/O","SAI1_SCK_B","FM_I2S_SCK"
"33","PF9","I/O","SAI1_FS_B","FM_I2S_FS"
"34","PF10","I/O","",""
"35","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN","HSE_IN_+"
"36","PH1-OSC_OUT (PH1)","I/O","RCC_OSC_OUT","HSE_IN_-"
"37","NRST","Reset","",""
"38","PC0","I/O","",""
"39","PC1","I/O","",""
"40","PC2_C","I/O","",""
"41","PC3_C","I/O","",""
"42","VSSA","Power","",""
"43","VREF+","MonoIO","",""
"44","VDDA","Power","",""
"45","PA0","I/O","SAI2_SD_B","OUT_I2S_SD"
"46","PA1","I/O","SAI2_MCLK_B","OUT_I2S_MCLK"
"47","PA2","I/O","SAI2_SCK_B","OUT_I2S_SCK"
"48","PH2","I/O","",""
"49","VDD","Power","",""
"50","VSS","Power","",""
"51","PH3","I/O","",""
"52","PH4","I/O","",""
"53","PH5","I/O","",""
"54","PA3","I/O","USART2_RX","RS485_RX"
"55","VSS","Power","",""
"56","VDD","Power","",""
"57","PA4","I/O","",""
"58","PA5","I/O","SPI1_SCK","LED_SPI_SCK"
"59","PA6","I/O","SPI1_MISO","LED_SPI_MISO"
"60","PA7","I/O","SPI1_MOSI","LED_SPI_MOSI"
"61","PC4","I/O","",""
"62","PC5","Input","GPIO_Input","BTN_SRC"
"63","PB0","Input","GPIO_Input","BTN_MENU"
"64","PB1","Input","GPIO_Input","BTN_PLAY/STOP"
"65","PB2","Input","GPIO_Input","BTN_PREV"
"66","PI15","Input","GPIO_Input","BTN_NEXT"
"67","PF11","Input","GPIO_Input","BTN_CALL_TAKE"
